,station_id,latitude,longitude,elevation,station_name,start_year,end_year
1,AEM00041217,24.4333,54.65,16.0,ABU DHABI INTERNATIONAL AIRPOR,1983,2025
6,AFM00040948,34.55,69.2167,1791.0,KABUL AIRPORT,1961,2021
10,AGM00060390,36.6833,3.2167,25.0,DAR-EL-BEIDA,1948,2025
25,AGM00060571,31.5,-2.25,811.0,BECHAR,1948,2025
33,AGM00060630,27.2333,2.5,273.0,IN-SALAH,1964,2025
35,AGM00060656,27.7,-8.1667,443.0,TINDOUF,1973,2025
38,AGM00060680,22.8,5.4333,1377.0,TAMANRASSET,1934,2025
44,AJM00037860,40.5333,50.0,27.0,MASHTAGA,1947,2025
49,AMM00037789,40.2169,44.5017,1134.0,YEREVAN AERO,1949,2022
57,AQM00091765,-14.3383,-170.7192,5.5,PAGO PAGO/INT.AIRP. AMERICAN S,1966,2025
60,ARM00087155,-27.45,-59.05,53.0,RESISTENCIA AERO,1961,2025
62,ARM00087244,-29.9,-63.6833,341.0,VILLA DE MARIA DEL RIO SECO,2018,2018
63,ARM00087344,-31.3167,-64.2167,484.0,CORDOBA AERO,1959,2025
64,ARM00087418,-32.8333,-68.7833,705.0,MENDOZA AERO,1974,2025
66,ARM00087576,-34.8167,-58.5333,20.0,EZEIZA AERO,1957,2022
69,ARM00087623,-36.5667,-64.2667,190.0,SANTA ROSA AERO,1965,2025
70,ARM00087715,-38.95,-68.1333,270.0,NEUQUEN AERO,1957,2025
73,ARM00087860,-45.7833,-67.5,58.0,COMODORO RIVADAVIA AERO,1958,2025
78,ASM00094120,-12.4239,130.8925,31.4,DARWIN AIRPORT,1943,2025
79,ASM00094150,-12.2742,136.8203,62.5,GOVE AIRPORT,1985,2023
80,ASM00094170,-12.6778,141.9208,19.2,WEIPA AERO,1993,2025
82,ASM00094203,-17.9475,122.2353,17.4,BROOME AIRPORT,1950,2025
84,ASM00094212,-18.2292,127.6636,410.3,HALLS CREEK AIRPORT,1950,2016
90,ASM00094294,-19.2483,146.7661,5.5,TOWNSVILLE AERO,1943,2019
91,ASM00094299,-16.2833,149.965,9.0,WILLIS ISLAND,1947,2025
93,ASM00094302,-22.2406,114.0967,6.0,LEARMONTH AIRPORT,1975,2025
95,ASM00094312,-20.3725,118.6317,10.1,PORT HEDLAND AIRPORT,1950,2025
96,ASM00094326,-23.795,133.8889,545.3,ALICE SPRINGS AIRPORT,1946,2025
97,ASM00094332,-20.6778,139.4875,341.7,MOUNT ISA AERO,1975,2025
99,ASM00094346,-23.4372,144.2769,191.1,LONGREACH AERO,1966,2017
100,ASM00094367,-21.1172,149.2169,30.3,MACKAY M.O,1959,2016
101,ASM00094374,-23.3753,150.4775,10.4,ROCKHAMPTON AERO,1943,2022
103,ASM00094403,-28.8044,114.6989,36.9,GERALDTON AIRPORT,1950,2025
104,ASM00094430,-26.6136,118.5372,522.1,MEEKATHARRA AIRPORT,1951,2025
105,ASM00094461,-25.0342,128.3011,580.0,GILES METEOROLOGICAL OFFICE,1956,2025
107,ASM00094510,-26.4139,146.2558,305.7,CHARLEVILLE AERO,1942,2025
109,ASM00094578,-27.3917,153.1292,4.0,BRISBANE AERO,1943,2025
110,ASM00094610,-31.9275,115.9764,20.4,PERTH AIRPORT,1948,2025
111,ASM00094637,-30.7847,121.4533,366.7,KALGOORLIE-BOULDER AIRPORT,1950,2025
112,ASM00094638,-33.83,121.8925,25.0,ESPERANCE,1969,2024
115,ASM00094653,-32.1297,133.6975,23.5,CEDUNA AMO,1950,2025
116,ASM00094659,-31.1558,136.8053,167.0,WOOMERA AERODROME,1949,2025
117,ASM00094672,-34.9525,138.5203,6.1,ADELAIDE AIRPORT,1945,2025
120,ASM00094711,-31.4839,145.8294,260.0,COBAR MO,1962,2025
122,ASM00094750,-34.9469,150.5353,122.0,NOWRA RAN AIR STATION AWS,1950,2024
123,ASM00094767,-33.9464,151.1731,6.4,SYDNEY AIRPORT AMO,1946,2025
125,ASM00094776,-32.7933,151.8358,9.5,WILLIAMTOWN RAAF,1954,2024
127,ASM00094802,-34.9414,117.8022,71.0,ALBANY AIRPORT,1965,2025
128,ASM00094821,-37.7472,140.7739,64.6,MOUNT GAMBIER AERO,1945,2025
130,ASM00094866,-37.6656,144.8322,132.3,MELBOURNE AIRPORT,1946,2025
132,ASM00094910,-35.1583,147.4572,220.7,WAGGA WAGGA AMO,1946,2025
137,ASM00094975,-42.8339,147.5033,4.0,HOBART AIRPORT,1953,2024
138,ASM00094995,-31.5422,159.0786,5.2,LORD HOWE ISLAND AERO,1950,2025
139,ASM00094998,-54.4994,158.937,6.0,MACQUARIE ISLAND,1948,2025
140,ASM00095527,-29.4897,149.8472,213.7,MOREE AERO,1964,2025
145,AUM00011010,48.2353,14.1881,298.0,LINZ/HOERSCHING-FLUGHAFEN,1987,2025
146,AUM00011035,48.2486,16.3564,200.0,WIEN/HOHE WARTE,1910,2025
147,AUM00011120,47.2603,11.3439,581.0,INNSBRUCK-FLUGHAFEN,1998,2025
148,AUM00011240,46.9931,15.4392,340.0,GRAZ-THALERHOF-FLUGHAFEN,1987,2025
151,AYM00089002,-70.6667,-8.25,50.0,NEUMAYER,1984,2025
152,AYM00089009,-90.0,-0.0,2835.0,AMUNDSEN-SCOTT,1961,2025
153,AYM00089022,-75.445,-26.2181,30.0,HALLEY,1957,2025
156,AYM00089055,-64.2333,-56.7167,208.0,BASE MARAMBIO,1982,2025
157,AYM00089056,-62.1833,-58.9833,48.0,CENTRO MET. ANTARTICO PDTE. ED,2018,2023
158,AYM00089062,-67.5661,-68.1297,3.0,ROTHERA,2002,2025
161,AYM00089512,-70.7678,11.8317,118.9,NOVOLAZAREVSKAJA,1969,2025
163,AYM00089532,-69.0053,39.5811,18.4,SYOWA,1959,2025
166,AYM00089564,-67.6017,62.8753,9.9,MAWSON,1954,2025
167,AYM00089571,-68.5744,77.9672,18.0,DAVIS,1957,2025
168,AYM00089592,-66.5519,93.0147,43.4,MIRNYJ,1957,2025
172,AYM00089611,-66.2825,110.5231,40.0,CASEY,1957,2025
173,AYM00089625,-75.1017,123.4119,3233.0,CONCORDIA,2006,2025
174,AYM00089642,-66.6631,140.0011,43.0,DUMONT D'URVILLE,1951,2025
176,AYM00089662,-74.6958,164.0922,92.0,MARIO ZUCHELLI STATION,1987,2024
177,AYM00089664,-77.85,166.6667,24.0,MCMURDO,1956,2025
186,BBM00078954,13.0667,-59.4833,50.0,GRANTLEY ADAMS,1965,2025
193,BDM00078016,32.3669,-64.6772,4.0,L F WADE INTERNATIONAL AIRPORT,1946,2025
195,BEM00006447,50.7969,4.3581,99.0,UCCLE,1949,2016
196,BEM00006458,50.7456,4.7633,112.8,BEAUVECHAIN,2005,2025
198,BEM00006496,50.4822,6.1814,565.1,ELSENBORN,1999,2021
200,BFM00078073,25.05,-77.4667,7.0,NASSAU AIRPORT NEW PROVIDENCE,1977,2020
203,BGM00041859,25.7333,89.2333,33.0,RANGPUR,1929,2025
204,BGM00041883,24.85,89.3667,18.0,BOGRA,1949,2025
205,BGM00041891,24.9,91.8833,34.0,SYLHET,1953,2025
206,BGM00041907,24.1333,89.05,13.0,ISHWARDI,1976,2025
207,BGM00041923,23.7667,90.3833,8.0,DHAKA,1938,2025
209,BGM00041936,23.1833,89.1667,6.0,JESSORE,1982,2025
210,BGM00041943,23.0333,91.4167,6.0,FENI,1982,2025
211,BGM00041950,22.75,90.3667,3.0,BARISAL,1977,2025
212,BGM00041977,22.35,91.8167,33.0,CHITTAGONG (AMBAGAN),1928,2025
213,BGM00041992,21.4333,91.9333,2.0,COX'S BAZAR,1951,2025
217,BHM00078583,17.5333,-88.3,5.0,BELIZE/PHILLIP GOLDSTON INTL.,1980,2025
228,BMM00048042,21.9833,96.1,74.0,MANDALAY,1928,2022
235,BMM00048097,16.7667,96.1667,14.0,YANGON,1928,2022
240,BNM00065306,11.1333,2.9333,290.0,KANDI,1940,2019
241,BNM00065330,9.35,2.6167,392.0,PARAKOU,1973,2022
242,BNM00065344,6.35,2.3833,5.0,COTONOU,1940,2025
244,BOM00026850,53.9286,27.6353,223.8,MINSK,1939,2025
245,BOM00033008,52.1167,23.6858,145.9,BREST,1951,2022
247,BOM00033041,52.4019,30.9631,126.3,GOMEL,1970,2022
250,BRM00081729,-3.2944,-60.6283,19.0,MANACAPURU,2014,2015
251,BRM00082022,2.8333,-60.7,140.0,BOA VISTA (AERO),1977,2025
252,BRM00082026,2.2239,-55.9472,325.0,TIRIOS,2006,2025
253,BRM00082099,0.05,-51.0667,16.0,MACAPA (AERO),2005,2025
254,BRM00082107,-0.1167,-66.9667,79.0,SAO GABRIEL DA CACHOEIRA,2008,2025
255,BRM00082193,-1.3833,-48.4833,16.0,BELEM (AERO),1943,2025
256,BRM00082244,-2.4333,-54.7167,72.0,SANTAREM (AERO),1973,2025
257,BRM00082281,-2.6,-44.2333,53.0,SAO LUIZ (AERO),1971,2021
259,BRM00082332,-3.15,-59.9833,84.0,MANAUS (AERO),1967,2025
260,BRM00082397,-3.7667,-38.6,26.0,FORTALEZA,1973,2019
261,BRM00082400,-3.85,-32.4167,56.0,FERNANDO DE NORONHA,1958,2025
262,BRM00082411,-4.25,-69.9333,81.0,TABATINGA (AERO),2006,2025
263,BRM00082532,-5.8167,-61.2833,53.0,MANICORE (AERO),2006,2025
267,BRM00082599,-5.9167,-35.25,52.0,NATAL (AERO),1943,2025
269,BRM00082678,-6.7667,-43.0167,127.0,FLORIANO,1971,2019
270,BRM00082705,-7.5833,-72.7667,199.0,CRUZEIRO DO SUL (AERO),2004,2025
271,BRM00082765,-7.3333,-47.4667,193.0,CAROLINA,1970,2019
274,BRM00082824,-8.7667,-63.9167,102.0,PORTO VELHO (AERO),1977,2025
275,BRM00082900,-8.05,-34.9167,7.0,RECIFE,1952,2019
276,BRM00082917,-10.0,-67.8,142.0,RIO BRANCO (AERO),2004,2025
278,BRM00082965,-9.8667,-56.1,288.0,ALTA FLORESTA (AERO),1987,2025
280,BRM00082983,-9.3833,-40.4833,370.0,PETROLINA,1970,2020
285,BRM00083208,-12.7,-60.1,612.0,VILHENA (AERO),1967,2025
286,BRM00083229,-13.0167,-38.5167,52.0,SALVADOR,1970,2018
288,BRM00083288,-13.2667,-43.4167,440.0,BOM JESUS DA LAPA,1970,2015
291,BRM00083362,-15.65,-56.1,187.0,CUIABA (AERO),1974,2021
292,BRM00083378,-15.8667,-47.9333,1061.0,BRASILIA (AERO),1966,2025
293,BRM00083498,-17.7333,-39.25,3.0,CARAVELAS,1975,2016
294,BRM00083525,-18.8833,-48.2167,943.0,UBERLANDIA (AERO),2006,2025
295,BRM00083554,-19.0,-57.6667,141.0,CORUMBA (AERO),2002,2025
296,BRM00083566,-19.6167,-43.9667,827.0,CONFINS (AERO),1973,2025
298,BRM00083612,-20.4667,-54.6667,567.0,CAMPO GRANDE (AERO),1966,2025
299,BRM00083649,-20.2667,-40.2833,4.0,VITORIA (AERO),1973,2025
300,BRM00083650,-20.5,-29.3167,5.0,TRINDADE (ILHA),1967,2019
301,BRM00083746,-22.8167,-43.25,6.0,GALEAO,1961,2024
302,BRM00083768,-23.3333,-51.1333,569.0,LONDRINA (AERO),1973,2025
303,BRM00083779,-23.5,-46.6333,722.0,MARTE (AERO),2000,2025
305,BRM00083827,-25.5167,-54.5833,180.0,FOZ DO IGUACU (AERO),1974,2025
306,BRM00083840,-25.5167,-49.1667,908.0,CURITIBA (AERO),1965,2025
307,BRM00083899,-27.6667,-48.55,5.0,FLORIANOPOLIS (AERO),1973,2025
308,BRM00083928,-29.7833,-57.0333,74.0,URUGUAIANA (AERO),1973,2025
309,BRM00083937,-29.7167,-53.7,85.0,SANTA MARIA (AERO),2006,2025
310,BRM00083971,-30.0,-51.1833,3.0,PORTO ALEGRE (AERO),1950,2024
312,BUM00015614,42.65,23.3833,595.0,SOFIA (OBSERV.),1955,2025
314,BXM00096315,4.9333,114.9333,22.0,BRUNEI AIRPORT,1981,2025
315,BXM00096323,4.583,114.2,3.0,KUALA BELAIT,1999,2024
316,CAM00071043,65.2833,-126.75,93.6,NORMAN WELLS UA,1951,2025
321,CAM00071081,68.7667,-81.2167,5.9,HALL BEACH UA,1957,2025
322,CAM00071082,82.5,-62.3333,65.4,ALERT UA,1950,2025
324,CAM00071109,50.685,-127.3758,17.4,PORT HARDY UA,1951,2025
326,CAM00071119,53.5475,-114.1083,766.3,EDMONTON STONY PLAIN,1946,2025
334,CAM00071203,49.9408,-119.4003,456.0,KELOWNA UA,1994,2017
338,CAM00071600,43.9322,-60.0094,5.0,SABLE ISLAND,1954,2019
339,CAM00071603,43.8667,-66.1,8.9,YARMOUTH UA,1988,2025
343,CAM00071701,45.8333,-66.4333,50.6,GAGETOWN A,1971,2025
345,CAM00071722,46.3019,-76.0061,188.6,MANIWAKI UA,1954,2025
347,CAM00071802,47.5167,-52.7833,112.4,ST JOHN'S WEST UA,2009,2025
348,CAM00071811,50.2167,-66.25,53.1,SEPT-ILES UA,1954,2025
349,CAM00071815,48.5667,-58.5667,57.0,STEPHENVILLE UA,1946,2025
350,CAM00071816,53.3,-60.3667,35.7,GOOSE UA,1946,2025
351,CAM00071823,53.7572,-73.6792,302.4,LA GRANDE IV UA,1985,2025
352,CAM00071836,51.2667,-80.65,10.0,MOOSONEE UA,1954,2023
353,CAM00071843,49.8,-97.1333,227.0,WINNIPEG UA,2000,2024
354,CAM00071845,51.45,-90.2,386.2,PICKLE LAKE UA,1992,2025
362,CAM00071867,53.9667,-101.1,274.0,THE PAS UA,1954,2025
370,CAM00071906,58.1167,-68.4167,60.2,KUUJJUAQ,1947,2025
371,CAM00071907,58.4667,-78.0833,24.4,INUKJUAK UA,1950,2025
372,CAM00071908,53.9,-122.79,600.5,PRINCE GEORGE UA,2000,2025
373,CAM00071909,63.75,-68.55,21.9,IQALUIT UA,1946,2025
374,CAM00071913,58.7333,-94.0667,28.5,CHURCHILL A UA,1950,2025
375,CAM00071915,64.2,-83.3667,57.3,CORAL HARBOUR UA,1950,2017
376,CAM00071917,79.9833,-85.9333,10.4,EUREKA UA,1948,2025
377,CAM00071924,74.7042,-94.9681,46.1,RESOLUTE UA,1948,2025
378,CAM00071925,69.1333,-105.0667,25.1,CAMBRIDGE BAY UA,1962,2025
379,CAM00071926,64.3167,-96.0,50.8,BAKER LAKE UA,1949,2025
382,CAM00071934,60.0261,-111.9294,204.1,FORT SMITH UA,1954,2025
384,CAM00071945,58.8333,-122.6,378.3,FORT NELSON UA,1954,2025
385,CAM00071957,68.3167,-133.5167,103.2,INUVIK UA,1960,2025
386,CAM00071964,60.7328,-135.0969,707.0,WHITEHORSE UA,1954,2025
401,CDM00064700,12.1333,15.0333,295.0,NDJAMENA,1950,2025
402,CDM00064750,9.15,18.3833,365.0,SARH,1961,2024
405,CEM00043413,8.9833,79.9167,3.0,MANNAR,1938,2024
406,CEM00043418,8.5833,81.25,79.0,TRINCOMALEE,1973,2024
409,CEM00043466,6.9,79.8667,7.0,COLOMBO,1939,2025
411,CEM00043497,6.1167,81.1333,18.0,HAMBANTOTA,1973,2024
412,CFM00064400,-4.8167,11.9,17.0,POINTE-NOIRE,1947,2025
414,CFM00064450,-4.25,15.25,319.0,BRAZZAVILLE /MAYA-MAYA,1973,2024
416,CFM00064458,1.6167,16.05,352.0,OUESSO,1963,2024
421,CHM00050527,49.25,119.7,653.3,HAILAR,1956,2025
422,CHM00050557,49.1667,125.2333,243.0,NENJIANG,1956,2025
425,CHM00050774,47.7167,128.8333,264.8,YICHUN,1973,2025
428,CHM00050953,45.9333,126.5667,118.3,HARBIN,1958,2025
429,CHM00051076,47.7333,88.0833,737.0,ALTAY,1958,2025
431,CHM00051156,46.81,85.7489,1323.2,HOBOKSAR,1973,2017
433,CHM00051243,45.6167,84.85,457.0,KARAMAY,1973,2025
437,CHM00051431,43.95,81.3333,664.0,YINING,1956,2025
438,CHM00051463,43.7833,87.6167,919.0,WU LU MU QI,1956,2025
442,CHM00051644,41.7167,82.95,1083.5,KUQA,1957,2025
443,CHM00051656,41.7294,85.8186,903.0,KORLA,1964,2025
445,CHM00051709,39.4833,75.75,1386.7,KASHI,1956,2025
449,CHM00051777,39.0333,88.1667,889.0,RUOQIANG,1956,2025
451,CHM00051828,37.1333,79.9333,1375.0,HOTAN,1957,2025
452,CHM00051839,37.0667,82.7167,1409.0,MINFENG,1973,2025
457,CHM00052203,42.8167,93.5167,739.0,HAMI,1957,2025
458,CHM00052267,41.95,101.0667,941.0,EJIN QI,1957,2025
460,CHM00052323,41.8,97.0333,1770.0,MAZONG SHAN,1963,2025
462,CHM00052418,40.15,94.6833,1140.0,DUNHUANG,1957,2025
465,CHM00052533,39.7667,98.4833,1478.0,JIUQUAN,1956,2025
468,CHM00052681,38.6333,103.0833,1367.0,MINQIN,1957,2025
471,CHM00052818,36.4167,94.9,2809.0,GOLMUD,1957,2025
472,CHM00052836,36.3,98.1,3190.0,DOULAN,1956,2025
474,CHM00052866,36.7167,101.75,2296.0,XINING,1958,2025
477,CHM00052983,35.8667,104.15,1875.0,YU ZHONG,2001,2025
478,CHM00053068,43.6333,111.95,966.0,ERENHOT,1973,2025
482,CHM00053336,41.5667,108.5167,1290.0,HALIUT,1973,2020
484,CHM00053463,40.85,111.5667,1153.5,HOHHOT,1956,2025
487,CHM00053513,40.7333,107.3667,1041.0,LINHE,1973,2025
489,CHM00053543,39.8333,109.9833,1459.0,DONGSHENG,1963,2025
492,CHM00053614,38.4667,106.2,1112.0,YINCHUAN,1957,2025
493,CHM00053772,37.6206,112.5767,776.0,TAIYUAN,1956,2025
494,CHM00053798,37.1808,114.3589,184.0,XINGTAI,1967,2020
496,CHM00053845,36.5667,109.45,958.9,YAN AN,1956,2025
499,CHM00053915,35.55,106.6667,1348.0,PINGLIANG,1959,2025
504,CHM00054102,43.95,116.1167,1004.0,XILIN HOT,1956,2025
506,CHM00054135,43.6,122.2667,180.0,TONGLIAO,1959,2025
507,CHM00054161,43.9,125.2167,238.0,CHANGCHUN,1956,2025
508,CHM00054218,42.3,118.8333,668.6,CHIFENG,1956,2025
510,CHM00054292,42.8667,129.5,258.0,YANJI,1956,2025
513,CHM00054342,41.7333,123.5167,49.0,SHENYANG,1956,2019
514,CHM00054374,41.8,126.8833,385.0,LINJIANG,1959,2025
515,CHM00054401,40.7833,114.8833,774.1,ZHANGJIAKOU,1973,2020
518,CHM00054511,39.9333,116.2833,32.5,BEIJING,1956,2025
522,CHM00054662,38.9,121.6333,97.0,DALIAN,1944,2025
524,CHM00054727,36.7,117.55,123.0,ZHANGQIU,2003,2025
530,CHM00054857,36.0667,120.3333,77.0,QINGDAO,1956,2025
535,CHM00055299,31.4833,92.0667,4508.0,NAGQU,1957,2025
538,CHM00055591,29.6667,91.1333,3650.0,LHASA,1957,2025
544,CHM00056029,33.0,96.95,3716.9,YUSHU,1959,2025
546,CHM00056046,33.75,99.65,3968.0,DARLAG,1967,2025
548,CHM00056080,35.0,102.9,2910.0,HEZUO,1960,2025
552,CHM00056137,31.15,97.1667,3307.0,QAMDO,1957,2025
553,CHM00056146,31.6167,100.0,3394.0,GARZE,1957,2025
556,CHM00056187,30.75,103.8667,549.0,WENJIANG,2004,2025
563,CHM00056492,28.8,104.6,342.0,YIBIN,1957,2025
565,CHM00056571,27.9,102.2667,1599.0,XICHANG,1956,2025
566,CHM00056651,26.8333,100.2167,2382.0,LIJING,1964,2025
567,CHM00056691,26.8667,104.2833,2236.0,WEINING,1960,2025
568,CHM00056739,24.9844,98.5056,1696.9,TENGCHONG,1956,2025
569,CHM00056778,25.0167,102.6833,1892.0,KUNMING,1956,2025
572,CHM00056964,22.7667,100.9833,1303.0,SIMAO,1957,2025
573,CHM00056985,23.4444,103.3278,1313.6,MENGZI,1973,2025
577,CHM00057067,34.0803,111.0728,659.5,LUSHI,1973,2017
578,CHM00057083,34.7167,113.65,111.0,ZHENGZHOU,1956,2025
579,CHM00057127,33.0667,107.0333,509.0,HANZHONG,1959,2025
580,CHM00057131,34.4333,108.9667,411.0,JINGHE,2007,2025
581,CHM00057178,33.1,112.4833,181.6,NANYANG,1967,2025
585,CHM00057245,32.7167,109.0333,291.0,ANKANG,1960,2025
591,CHM00057447,30.2833,109.4667,458.0,ENSHI,1959,2022
592,CHM00057461,30.7333,111.3667,257.7,YICHANG,1956,2025
593,CHM00057494,30.6,114.05,24.0,WUHAN,1946,2025
594,CHM00057516,29.6,106.4,541.1,CHONGQING,1957,2025
599,CHM00057687,28.1086,112.7864,120.0,CHANGSHA,1956,2025
602,CHM00057749,27.5667,110.0,261.0,HUAIHUA,1956,2025
604,CHM00057816,26.4833,106.65,1223.0,GUIYANG,1956,2025
608,CHM00057957,25.3333,110.3,166.0,GUILIN,1957,2025
609,CHM00057972,25.7353,112.9739,368.8,CHENZHOU,1956,2025
610,CHM00057993,25.8667,115.0,134.0,GANZHOU,1956,2025
611,CHM00058027,34.2833,117.15,42.0,XUZHOU,1956,2025
